SEXE,EDAT,DATA,ESDEVENIMENT,PAUTA,RECOMPTE
No classificat,No classificat,12/11/2021,Cas,No iniciada,23
No classificat,No classificat,12/11/2021,Hospitalització,No iniciada,1
Dona,0 a 9,11/11/2021,Cas,No iniciada,54
Home,0 a 9,11/11/2021,Cas,No iniciada,49
Dona,10 a 19,11/11/2021,Cas,Completa,12
Dona,10 a 19,11/11/2021,Cas,Parcial,1
Dona,10 a 19,11/11/2021,Cas,No iniciada,32
Home,10 a 19,11/11/2021,Cas,No iniciada,39
Home,10 a 19,11/11/2021,Cas,Completa,9
Dona,20 a 29,11/11/2021,Cas,No iniciada,8
Dona,20 a 29,11/11/2021,Cas,Completa,31
Home,20 a 29,11/11/2021,Cas,Parcial,1
Home,20 a 29,11/11/2021,Cas,No iniciada,7
Home,20 a 29,11/11/2021,Cas,Completa,15
Dona,30 a 39,11/11/2021,Cas,Parcial,3
Dona,30 a 39,11/11/2021,Cas,No iniciada,15
Dona,30 a 39,11/11/2021,Hospitalització,Completa,1
Dona,30 a 39,11/11/2021,Cas,Completa,40
Home,30 a 39,11/11/2021,Cas,Parcial,2
Home,30 a 39,11/11/2021,Cas,Completa,35
Home,30 a 39,11/11/2021,Cas,No iniciada,20
Dona,40 a 49,11/11/2021,Hospitalització,Completa,1
Dona,40 a 49,11/11/2021,Cas,Parcial,1
Dona,40 a 49,11/11/2021,Cas,No iniciada,8
Dona,40 a 49,11/11/2021,Cas,Completa,70
Home,40 a 49,11/11/2021,Hospitalització,No iniciada,1
Home,40 a 49,11/11/2021,Cas,Completa,73
Home,40 a 49,11/11/2021,Cas,No iniciada,12
Home,40 a 49,11/11/2021,Cas,Parcial,1
Home,40 a 49,11/11/2021,Crítics,No iniciada,3
Dona,50 a 59,11/11/2021,Cas,No iniciada,6
Dona,50 a 59,11/11/2021,Hospitalització,No iniciada,1
Dona,50 a 59,11/11/2021,Cas,Completa,48
Dona,50 a 59,11/11/2021,Hospitalització,Completa,1
Home,50 a 59,11/11/2021,Cas,No iniciada,7
Home,50 a 59,11/11/2021,Hospitalització,Completa,2
Home,50 a 59,11/11/2021,Hospitalització,No iniciada,2
Home,50 a 59,11/11/2021,Cas,Completa,23
Home,50 a 59,11/11/2021,Crítics,No iniciada,1
Dona,60 a 69,11/11/2021,Hospitalització,Completa,4
Dona,60 a 69,11/11/2021,Defunció,Completa,1
Dona,60 a 69,11/11/2021,Cas,Parcial,2
Dona,60 a 69,11/11/2021,Hospitalització,No iniciada,1
Dona,60 a 69,11/11/2021,Cas,Completa,50
Dona,60 a 69,11/11/2021,Crítics,Completa,2
Dona,60 a 69,11/11/2021,Cas,No iniciada,3
Home,60 a 69,11/11/2021,Cas,No iniciada,4
Home,60 a 69,11/11/2021,Cas,Parcial,1
Home,60 a 69,11/11/2021,Hospitalització,No iniciada,1
Home,60 a 69,11/11/2021,Cas,Completa,38
Home,60 a 69,11/11/2021,Defunció,No iniciada,1
Home,60 a 69,11/11/2021,Hospitalització,Completa,1
Dona,70 a 79,11/11/2021,Cas,Completa,28
Dona,70 a 79,11/11/2021,Cas,No iniciada,1
Dona,70 a 79,11/11/2021,Hospitalització,Completa,2
Home,70 a 79,11/11/2021,Cas,No iniciada,2
Home,70 a 79,11/11/2021,Defunció,Completa,1
Home,70 a 79,11/11/2021,Cas,Completa,26
Dona,80 o més,11/11/2021,Cas,No iniciada,1
Dona,80 o més,11/11/2021,Cas,Completa,18
Dona,80 o més,11/11/2021,Hospitalització,Completa,5
Home,80 o més,11/11/2021,Cas,Completa,11
Home,80 o més,11/11/2021,Hospitalització,Completa,4
Home,80 o més,11/11/2021,Defunció,Completa,2
Home,80 o més,11/11/2021,Cas,No iniciada,1
No classificat,No classificat,11/11/2021,Cas,Completa,1
No classificat,No classificat,11/11/2021,Cas,No iniciada,34
Dona,0 a 9,10/11/2021,Cas,No iniciada,59
Dona,0 a 9,10/11/2021,Crítics,No iniciada,1
Dona,0 a 9,10/11/2021,Hospitalització,No iniciada,2
Home,0 a 9,10/11/2021,Cas,No iniciada,51
Dona,10 a 19,10/11/2021,Cas,No iniciada,39
Dona,10 a 19,10/11/2021,Cas,Parcial,2
Dona,10 a 19,10/11/2021,Cas,Completa,7
Home,10 a 19,10/11/2021,Cas,Parcial,1
Home,10 a 19,10/11/2021,Cas,No iniciada,40
Home,10 a 19,10/11/2021,Cas,Completa,7
Dona,20 a 29,10/11/2021,Cas,No iniciada,9
Dona,20 a 29,10/11/2021,Hospitalització,No iniciada,1
Dona,20 a 29,10/11/2021,Cas,Parcial,1
Dona,20 a 29,10/11/2021,Cas,Completa,24
Home,20 a 29,10/11/2021,Cas,No iniciada,13
Home,20 a 29,10/11/2021,Cas,Parcial,2
Home,20 a 29,10/11/2021,Cas,Completa,13
Dona,30 a 39,10/11/2021,Hospitalització,No iniciada,1
Dona,30 a 39,10/11/2021,Cas,No iniciada,15
Dona,30 a 39,10/11/2021,Cas,Completa,49
Home,30 a 39,10/11/2021,Cas,No iniciada,9
Home,30 a 39,10/11/2021,Cas,Completa,35
Dona,40 a 49,10/11/2021,Hospitalització,No iniciada,1
Dona,40 a 49,10/11/2021,Hospitalització,Completa,1
Dona,40 a 49,10/11/2021,Cas,Parcial,1
Dona,40 a 49,10/11/2021,Cas,No iniciada,14
Dona,40 a 49,10/11/2021,Cas,Completa,63
Home,40 a 49,10/11/2021,Cas,No iniciada,15
Home,40 a 49,10/11/2021,Crítics,No iniciada,1
Home,40 a 49,10/11/2021,Cas,Completa,62
Home,40 a 49,10/11/2021,Hospitalització,No iniciada,2
Home,40 a 49,10/11/2021,Cas,Parcial,1
Dona,50 a 59,10/11/2021,Cas,Completa,45
Dona,50 a 59,10/11/2021,Cas,Parcial,1
Dona,50 a 59,10/11/2021,Cas,No iniciada,3
Home,50 a 59,10/11/2021,Cas,Completa,44
Home,50 a 59,10/11/2021,Cas,No iniciada,5
Home,50 a 59,10/11/2021,Hospitalització,No iniciada,1
Dona,60 a 69,10/11/2021,Cas,Parcial,1
Dona,60 a 69,10/11/2021,Hospitalització,Completa,3
Dona,60 a 69,10/11/2021,Cas,Completa,28
Dona,60 a 69,10/11/2021,Cas,No iniciada,3
Home,60 a 69,10/11/2021,Crítics,Completa,2
Home,60 a 69,10/11/2021,Hospitalització,Completa,3
Home,60 a 69,10/11/2021,Hospitalització,No iniciada,1
Home,60 a 69,10/11/2021,Cas,No iniciada,1
Home,60 a 69,10/11/2021,Cas,Completa,26
Dona,70 a 79,10/11/2021,Cas,Completa,22
Dona,70 a 79,10/11/2021,Cas,No iniciada,1
Dona,70 a 79,10/11/2021,Hospitalització,Completa,2
Home,70 a 79,10/11/2021,Hospitalització,Completa,5
Home,70 a 79,10/11/2021,Defunció,Completa,1
Home,70 a 79,10/11/2021,Cas,No iniciada,3
Home,70 a 79,10/11/2021,Hospitalització,No iniciada,2
Home,70 a 79,10/11/2021,Cas,Completa,22
Home,70 a 79,10/11/2021,Crítics,No iniciada,1
Dona,80 o més,10/11/2021,Hospitalització,No iniciada,2
Dona,80 o més,10/11/2021,Cas,Completa,14
Dona,80 o més,10/11/2021,Hospitalització,Completa,5
Dona,80 o més,10/11/2021,Cas,No iniciada,2
Home,80 o més,10/11/2021,Hospitalització,Completa,2
Home,80 o més,10/11/2021,Cas,Completa,9
Home,80 o més,10/11/2021,Cas,No iniciada,1
Home,80 o més,10/11/2021,Crítics,Completa,1
No classificat,No classificat,10/11/2021,Cas,No iniciada,19
Dona,0 a 9,09/11/2021,Cas,No iniciada,43
Home,0 a 9,09/11/2021,Cas,No iniciada,58
Dona,10 a 19,09/11/2021,Cas,No iniciada,35
Dona,10 a 19,09/11/2021,Cas,Completa,8
Home,10 a 19,09/11/2021,Cas,No iniciada,44
Home,10 a 19,09/11/2021,Cas,Completa,5
Home,10 a 19,09/11/2021,Hospitalització,No iniciada,1
Dona,20 a 29,09/11/2021,Cas,No iniciada,15
Dona,20 a 29,09/11/2021,Cas,Parcial,2
Dona,20 a 29,09/11/2021,Cas,Completa,41
Dona,20 a 29,09/11/2021,Hospitalització,No iniciada,1
Home,20 a 29,09/11/2021,Cas,Completa,23
Home,20 a 29,09/11/2021,Cas,No iniciada,25
Home,20 a 29,09/11/2021,Hospitalització,No iniciada,1
Dona,30 a 39,09/11/2021,Cas,Completa,33
Dona,30 a 39,09/11/2021,Cas,No iniciada,14
Dona,30 a 39,09/11/2021,Cas,Parcial,1
Dona,30 a 39,09/11/2021,Hospitalització,Completa,1
Dona,30 a 39,09/11/2021,Hospitalització,No iniciada,1
Home,30 a 39,09/11/2021,Cas,No iniciada,17
Home,30 a 39,09/11/2021,Crítics,No iniciada,1
Home,30 a 39,09/11/2021,Cas,Completa,43
Dona,40 a 49,09/11/2021,Hospitalització,Completa,1
Dona,40 a 49,09/11/2021,Cas,Parcial,3
Dona,40 a 49,09/11/2021,Cas,Completa,59
Dona,40 a 49,09/11/2021,Hospitalització,No iniciada,1
Dona,40 a 49,09/11/2021,Crítics,Completa,1
Dona,40 a 49,09/11/2021,Cas,No iniciada,22
Home,40 a 49,09/11/2021,Hospitalització,Completa,1
Home,40 a 49,09/11/2021,Cas,Completa,79
Home,40 a 49,09/11/2021,Cas,No iniciada,21
Home,40 a 49,09/11/2021,Crítics,Completa,1
Home,40 a 49,09/11/2021,Crítics,No iniciada,1
Dona,50 a 59,09/11/2021,Cas,Completa,46
Dona,50 a 59,09/11/2021,Cas,No iniciada,6
Dona,50 a 59,09/11/2021,Crítics,No iniciada,2
Home,50 a 59,09/11/2021,Hospitalització,No iniciada,3
Home,50 a 59,09/11/2021,Crítics,No iniciada,1
Home,50 a 59,09/11/2021,Cas,Completa,57
Home,50 a 59,09/11/2021,Cas,No iniciada,4
Dona,60 a 69,09/11/2021,Hospitalització,Completa,1
Dona,60 a 69,09/11/2021,Cas,No iniciada,1
Dona,60 a 69,09/11/2021,Cas,Completa,32
Home,60 a 69,09/11/2021,Crítics,Completa,1
Home,60 a 69,09/11/2021,Cas,Completa,40
Home,60 a 69,09/11/2021,Cas,No iniciada,6
Home,60 a 69,09/11/2021,Hospitalització,Completa,6
Home,60 a 69,09/11/2021,Hospitalització,No iniciada,5
Home,60 a 69,09/11/2021,Crítics,No iniciada,2
Dona,70 a 79,09/11/2021,Hospitalització,Completa,1
Dona,70 a 79,09/11/2021,Hospitalització,No iniciada,1
Dona,70 a 79,09/11/2021,Cas,No iniciada,2
Dona,70 a 79,09/11/2021,Cas,Completa,14
Home,70 a 79,09/11/2021,Defunció,No iniciada,1
Home,70 a 79,09/11/2021,Hospitalització,Completa,1
Home,70 a 79,09/11/2021,Crítics,No iniciada,1
Home,70 a 79,09/11/2021,Cas,Completa,25
Dona,80 o més,09/11/2021,Cas,No iniciada,3
Dona,80 o més,09/11/2021,Hospitalització,No iniciada,1
Dona,80 o més,09/11/2021,Crítics,Completa,1
Dona,80 o més,09/11/2021,Cas,Completa,21
Dona,80 o més,09/11/2021,Hospitalització,Completa,6
Home,80 o més,09/11/2021,Hospitalització,Completa,5
Home,80 o més,09/11/2021,Cas,Completa,15
Home,80 o més,09/11/2021,Defunció,Completa,2
No classificat,No classificat,09/11/2021,Cas,Parcial,2
No classificat,No classificat,09/11/2021,Cas,No iniciada,18
Dona,0 a 9,08/11/2021,Cas,No iniciada,40
Home,0 a 9,08/11/2021,Cas,No iniciada,54
Home,0 a 9,08/11/2021,Hospitalització,No iniciada,2
Dona,10 a 19,08/11/2021,Cas,Completa,10
Dona,10 a 19,08/11/2021,Cas,No iniciada,31
Home,10 a 19,08/11/2021,Hospitalització,No iniciada,1
Home,10 a 19,08/11/2021,Cas,No iniciada,33
Home,10 a 19,08/11/2021,Cas,Completa,14
Dona,20 a 29,08/11/2021,Cas,No iniciada,10
Dona,20 a 29,08/11/2021,Cas,Completa,21
Home,20 a 29,08/11/2021,Cas,Parcial,1
Home,20 a 29,08/11/2021,Cas,Completa,19
Home,20 a 29,08/11/2021,Cas,No iniciada,13
Dona,30 a 39,08/11/2021,Cas,No iniciada,14
Dona,30 a 39,08/11/2021,Cas,Parcial,1
Dona,30 a 39,08/11/2021,Hospitalització,Completa,1
Dona,30 a 39,08/11/2021,Cas,Completa,40
Dona,30 a 39,08/11/2021,Hospitalització,No iniciada,1
Home,30 a 39,08/11/2021,Cas,Completa,30
Home,30 a 39,08/11/2021,Cas,No iniciada,18
Dona,40 a 49,08/11/2021,Cas,Completa,65
Dona,40 a 49,08/11/2021,Hospitalització,No iniciada,1
Dona,40 a 49,08/11/2021,Cas,Parcial,1
Dona,40 a 49,08/11/2021,Cas,No iniciada,19
Home,40 a 49,08/11/2021,Cas,Completa,72
Home,40 a 49,08/11/2021,Hospitalització,No iniciada,2
Home,40 a 49,08/11/2021,Crítics,Completa,1
Home,40 a 49,08/11/2021,Crítics,No iniciada,1
Home,40 a 49,08/11/2021,Cas,No iniciada,27
Home,40 a 49,08/11/2021,Hospitalització,Completa,1
Dona,50 a 59,08/11/2021,Cas,Parcial,1
Dona,50 a 59,08/11/2021,Hospitalització,No iniciada,1
Dona,50 a 59,08/11/2021,Cas,No iniciada,6
Dona,50 a 59,08/11/2021,Cas,Completa,33
Home,50 a 59,08/11/2021,Hospitalització,No iniciada,1
Home,50 a 59,08/11/2021,Cas,Completa,41
Home,50 a 59,08/11/2021,Defunció,Completa,1
Home,50 a 59,08/11/2021,Cas,No iniciada,9
Home,50 a 59,08/11/2021,Crítics,Completa,1
Dona,60 a 69,08/11/2021,Cas,No iniciada,7
Dona,60 a 69,08/11/2021,Hospitalització,No iniciada,1
Dona,60 a 69,08/11/2021,Hospitalització,Completa,1
Dona,60 a 69,08/11/2021,Cas,Completa,31
Home,60 a 69,08/11/2021,Hospitalització,No iniciada,2
Home,60 a 69,08/11/2021,Hospitalització,Completa,1
Home,60 a 69,08/11/2021,Cas,No iniciada,7
Home,60 a 69,08/11/2021,Crítics,Completa,2
Home,60 a 69,08/11/2021,Cas,Completa,29
Dona,70 a 79,08/11/2021,Cas,No iniciada,1
Dona,70 a 79,08/11/2021,Hospitalització,Completa,2
Dona,70 a 79,08/11/2021,Crítics,Completa,1
Dona,70 a 79,08/11/2021,Cas,Completa,29
Dona,70 a 79,08/11/2021,Defunció,Completa,1
Home,70 a 79,08/11/2021,Hospitalització,No iniciada,1
Home,70 a 79,08/11/2021,Hospitalització,Completa,3
Home,70 a 79,08/11/2021,Cas,Completa,27
Home,70 a 79,08/11/2021,Defunció,Completa,2
Home,70 a 79,08/11/2021,Cas,No iniciada,2
Home,70 a 79,08/11/2021,Cas,Parcial,1
Dona,80 o més,08/11/2021,Defunció,Completa,1
Dona,80 o més,08/11/2021,Cas,Completa,20
Dona,80 o més,08/11/2021,Defunció,No iniciada,1
Dona,80 o més,08/11/2021,Hospitalització,Completa,4
Dona,80 o més,08/11/2021,Cas,No iniciada,1
Home,80 o més,08/11/2021,Defunció,Completa,1
Home,80 o més,08/11/2021,Cas,Completa,20
Home,80 o més,08/11/2021,Hospitalització,Completa,3
No classificat,No classificat,08/11/2021,Cas,Parcial,1
No classificat,No classificat,08/11/2021,Cas,No iniciada,22
No classificat,No classificat,08/11/2021,Cas,Completa,1
Dona,0 a 9,07/11/2021,Cas,No iniciada,10
Home,0 a 9,07/11/2021,Cas,No iniciada,6
Dona,10 a 19,07/11/2021,Cas,Completa,2
Dona,10 a 19,07/11/2021,Cas,No iniciada,8
Home,10 a 19,07/11/2021,Cas,No iniciada,8
Dona,20 a 29,07/11/2021,Cas,Completa,4
Dona,20 a 29,07/11/2021,Cas,No iniciada,3
Home,20 a 29,07/11/2021,Cas,Completa,1
Home,20 a 29,07/11/2021,Cas,No iniciada,5
Dona,30 a 39,07/11/2021,Cas,Completa,17
Dona,30 a 39,07/11/2021,Cas,Parcial,1
Dona,30 a 39,07/11/2021,Cas,No iniciada,7
Home,30 a 39,07/11/2021,Cas,No iniciada,3
Home,30 a 39,07/11/2021,Cas,Completa,8
Home,30 a 39,07/11/2021,Hospitalització,No iniciada,1
Dona,40 a 49,07/11/2021,Cas,No iniciada,5
Dona,40 a 49,07/11/2021,Cas,Completa,21
Home,40 a 49,07/11/2021,Cas,Completa,21
Home,40 a 49,07/11/2021,Cas,No iniciada,8
Home,40 a 49,07/11/2021,Hospitalització,No iniciada,1
Dona,50 a 59,07/11/2021,Cas,Completa,16
Dona,50 a 59,07/11/2021,Cas,No iniciada,4
Home,50 a 59,07/11/2021,Cas,No iniciada,3
Home,50 a 59,07/11/2021,Hospitalització,No iniciada,1
Home,50 a 59,07/11/2021,Cas,Completa,13
Dona,60 a 69,07/11/2021,Hospitalització,No iniciada,1
Dona,60 a 69,07/11/2021,Cas,Completa,15
Dona,60 a 69,07/11/2021,Cas,No iniciada,1
Home,60 a 69,07/11/2021,Hospitalització,No iniciada,1
Home,60 a 69,07/11/2021,Crítics,No iniciada,1
Home,60 a 69,07/11/2021,Cas,Completa,11
Home,60 a 69,07/11/2021,Cas,No iniciada,3
Home,60 a 69,07/11/2021,Hospitalització,Completa,2
Dona,70 a 79,07/11/2021,Hospitalització,No iniciada,1
Dona,70 a 79,07/11/2021,Cas,Completa,9
Dona,70 a 79,07/11/2021,Cas,No iniciada,2
Home,70 a 79,07/11/2021,Cas,No iniciada,2
Home,70 a 79,07/11/2021,Cas,Completa,13
Dona,80 o més,07/11/2021,Hospitalització,Completa,2
Dona,80 o més,07/11/2021,Crítics,Completa,1
Dona,80 o més,07/11/2021,Cas,Completa,4
Dona,80 o més,07/11/2021,Cas,No iniciada,2
Home,80 o més,07/11/2021,Hospitalització,Completa,2
Home,80 o més,07/11/2021,Cas,Completa,4
No classificat,No classificat,07/11/2021,Cas,No iniciada,8
Dona,0 a 9,06/11/2021,Cas,No iniciada,38
Home,0 a 9,06/11/2021,Hospitalització,No iniciada,1
Home,0 a 9,06/11/2021,Cas,No iniciada,27
Dona,10 a 19,06/11/2021,Cas,No iniciada,8
Dona,10 a 19,06/11/2021,Cas,Completa,8
Home,10 a 19,06/11/2021,Cas,Completa,3
Home,10 a 19,06/11/2021,Cas,No iniciada,8
Dona,20 a 29,06/11/2021,Cas,Completa,7
Dona,20 a 29,06/11/2021,Cas,No iniciada,2
Home,20 a 29,06/11/2021,Cas,Completa,3
Home,20 a 29,06/11/2021,Cas,No iniciada,4
Dona,30 a 39,06/11/2021,Cas,No iniciada,7
Dona,30 a 39,06/11/2021,Cas,Parcial,1
Dona,30 a 39,06/11/2021,Cas,Completa,24
Home,30 a 39,06/11/2021,Cas,Parcial,1
Home,30 a 39,06/11/2021,Cas,No iniciada,4
Home,30 a 39,06/11/2021,Cas,Completa,15
Dona,40 a 49,06/11/2021,Hospitalització,Completa,2
Dona,40 a 49,06/11/2021,Cas,Completa,32
Dona,40 a 49,06/11/2021,Cas,Parcial,1
Dona,40 a 49,06/11/2021,Cas,No iniciada,8
Home,40 a 49,06/11/2021,Hospitalització,Completa,1
Home,40 a 49,06/11/2021,Crítics,No iniciada,1
Home,40 a 49,06/11/2021,Cas,No iniciada,4
Home,40 a 49,06/11/2021,Cas,Completa,12
Home,40 a 49,06/11/2021,Hospitalització,No iniciada,2
Dona,50 a 59,06/11/2021,Hospitalització,No iniciada,2
Dona,50 a 59,06/11/2021,Crítics,No iniciada,1
Dona,50 a 59,06/11/2021,Cas,Parcial,1
Dona,50 a 59,06/11/2021,Cas,Completa,9
Home,50 a 59,06/11/2021,Cas,No iniciada,3
Home,50 a 59,06/11/2021,Cas,Completa,19
Dona,60 a 69,06/11/2021,Cas,Parcial,1
Dona,60 a 69,06/11/2021,Cas,No iniciada,2
Dona,60 a 69,06/11/2021,Cas,Completa,17
Home,60 a 69,06/11/2021,Cas,Completa,12
Home,60 a 69,06/11/2021,Cas,No iniciada,2
Dona,70 a 79,06/11/2021,Cas,No iniciada,2
Dona,70 a 79,06/11/2021,Cas,Completa,7
Home,70 a 79,06/11/2021,Cas,Completa,9
Home,70 a 79,06/11/2021,Hospitalització,Completa,2
Home,70 a 79,06/11/2021,Crítics,Completa,1
Home,70 a 79,06/11/2021,Cas,No iniciada,1
Dona,80 o més,06/11/2021,Hospitalització,No iniciada,2
Dona,80 o més,06/11/2021,Cas,Completa,5
Home,80 o més,06/11/2021,Cas,Completa,6
Home,80 o més,06/11/2021,Hospitalització,Completa,3
No classificat,No classificat,06/11/2021,Cas,No iniciada,8
Dona,0 a 9,05/11/2021,Cas,No iniciada,30
Home,0 a 9,05/11/2021,Cas,No iniciada,19
Dona,10 a 19,05/11/2021,Cas,Completa,4
Dona,10 a 19,05/11/2021,Cas,No iniciada,16
Home,10 a 19,05/11/2021,Cas,No iniciada,21
Home,10 a 19,05/11/2021,Cas,Completa,11
Dona,20 a 29,05/11/2021,Cas,No iniciada,17
Dona,20 a 29,05/11/2021,Cas,Completa,18
Dona,20 a 29,05/11/2021,Hospitalització,No iniciada,2
Dona,20 a 29,05/11/2021,Cas,Parcial,3
Home,20 a 29,05/11/2021,Cas,No iniciada,9
Home,20 a 29,05/11/2021,Cas,Completa,6
Dona,30 a 39,05/11/2021,Cas,Completa,30
Dona,30 a 39,05/11/2021,Cas,No iniciada,13
Dona,30 a 39,05/11/2021,Hospitalització,No iniciada,1
Dona,30 a 39,05/11/2021,Cas,Parcial,1
Home,30 a 39,05/11/2021,Cas,No iniciada,13
Home,30 a 39,05/11/2021,Cas,Completa,23
Dona,40 a 49,05/11/2021,Cas,Parcial,2
Dona,40 a 49,05/11/2021,Cas,No iniciada,16
Dona,40 a 49,05/11/2021,Cas,Completa,46
Dona,40 a 49,05/11/2021,Hospitalització,Completa,1
Dona,40 a 49,05/11/2021,Hospitalització,No iniciada,1
Home,40 a 49,05/11/2021,Cas,Completa,43
Home,40 a 49,05/11/2021,Cas,No iniciada,10
Dona,50 a 59,05/11/2021,Cas,No iniciada,6
Dona,50 a 59,05/11/2021,Cas,Completa,35
Home,50 a 59,05/11/2021,Hospitalització,No iniciada,1
Home,50 a 59,05/11/2021,Cas,No iniciada,13
Home,50 a 59,05/11/2021,Hospitalització,Completa,1
Home,50 a 59,05/11/2021,Cas,Completa,32
Dona,60 a 69,05/11/2021,Hospitalització,Completa,1
Dona,60 a 69,05/11/2021,Cas,No iniciada,5
Dona,60 a 69,05/11/2021,Cas,Completa,32
Home,60 a 69,05/11/2021,Hospitalització,Completa,1
Home,60 a 69,05/11/2021,Cas,No iniciada,1
Home,60 a 69,05/11/2021,Crítics,No iniciada,2
Home,60 a 69,05/11/2021,Cas,Parcial,1
Home,60 a 69,05/11/2021,Hospitalització,No iniciada,2
Home,60 a 69,05/11/2021,Cas,Completa,22
Dona,70 a 79,05/11/2021,Cas,No iniciada,3
Dona,70 a 79,05/11/2021,Cas,Completa,20
Dona,70 a 79,05/11/2021,Hospitalització,Completa,1
Home,70 a 79,05/11/2021,Hospitalització,Completa,2
Home,70 a 79,05/11/2021,Crítics,Completa,1
Home,70 a 79,05/11/2021,Cas,Completa,14
Dona,80 o més,05/11/2021,Cas,No iniciada,1
Dona,80 o més,05/11/2021,Hospitalització,Completa,1
Dona,80 o més,05/11/2021,Cas,Completa,20
Home,80 o més,05/11/2021,Defunció,Completa,1
Home,80 o més,05/11/2021,Hospitalització,No iniciada,1
Home,80 o més,05/11/2021,Cas,Completa,11
Home,80 o més,05/11/2021,Crítics,Completa,1
Home,80 o més,05/11/2021,Hospitalització,Completa,1
Home,80 o més,05/11/2021,Cas,No iniciada,1
No classificat,No classificat,05/11/2021,Cas,No iniciada,15
Dona,0 a 9,04/11/2021,Cas,No iniciada,37
Dona,0 a 9,04/11/2021,Hospitalització,No iniciada,2
Home,0 a 9,04/11/2021,Cas,No iniciada,25
Dona,10 a 19,04/11/2021,Cas,Parcial,1
Dona,10 a 19,04/11/2021,Cas,No iniciada,24
Dona,10 a 19,04/11/2021,Cas,Completa,7
Home,10 a 19,04/11/2021,Cas,Completa,7
Home,10 a 19,04/11/2021,Cas,No iniciada,19
Dona,20 a 29,04/11/2021,Cas,Parcial,1
Dona,20 a 29,04/11/2021,Cas,Completa,14
Dona,20 a 29,04/11/2021,Cas,No iniciada,8
Home,20 a 29,04/11/2021,Cas,Completa,16
Home,20 a 29,04/11/2021,Cas,No iniciada,6
Dona,30 a 39,04/11/2021,Cas,Completa,23
Dona,30 a 39,04/11/2021,Cas,Parcial,1
Dona,30 a 39,04/11/2021,Cas,No iniciada,15
Home,30 a 39,04/11/2021,Hospitalització,No iniciada,1
Home,30 a 39,04/11/2021,Cas,No iniciada,13
Home,30 a 39,04/11/2021,Crítics,No iniciada,1
Home,30 a 39,04/11/2021,Cas,Completa,29
Dona,40 a 49,04/11/2021,Cas,Completa,34
Dona,40 a 49,04/11/2021,Hospitalització,No iniciada,1
Dona,40 a 49,04/11/2021,Cas,Parcial,1
Dona,40 a 49,04/11/2021,Cas,No iniciada,5
Home,40 a 49,04/11/2021,Cas,Completa,28
Home,40 a 49,04/11/2021,Cas,No iniciada,14
Home,40 a 49,04/11/2021,Hospitalització,Completa,1
Dona,50 a 59,04/11/2021,Hospitalització,Completa,1
Dona,50 a 59,04/11/2021,Cas,No iniciada,8
Dona,50 a 59,04/11/2021,Cas,Completa,22
Dona,50 a 59,04/11/2021,Hospitalització,No iniciada,2
Home,50 a 59,04/11/2021,Cas,Parcial,1
Home,50 a 59,04/11/2021,Crítics,Completa,1
Home,50 a 59,04/11/2021,Cas,Completa,12
Home,50 a 59,04/11/2021,Cas,No iniciada,3
Dona,60 a 69,04/11/2021,Cas,Completa,31
Dona,60 a 69,04/11/2021,Cas,No iniciada,4
Dona,60 a 69,04/11/2021,Hospitalització,Completa,2
Home,60 a 69,04/11/2021,Cas,No iniciada,6
Home,60 a 69,04/11/2021,Cas,Completa,20
Home,60 a 69,04/11/2021,Hospitalització,No iniciada,1
Home,60 a 69,04/11/2021,Defunció,Completa,1
Dona,70 a 79,04/11/2021,Hospitalització,Completa,3
Dona,70 a 79,04/11/2021,Cas,Completa,22
Dona,70 a 79,04/11/2021,Crítics,Completa,1
Home,70 a 79,04/11/2021,Cas,Completa,19
Home,70 a 79,04/11/2021,Cas,Parcial,1
Home,70 a 79,04/11/2021,Hospitalització,No iniciada,1
Home,70 a 79,04/11/2021,Defunció,Completa,1
Home,70 a 79,04/11/2021,Cas,No iniciada,3
Home,70 a 79,04/11/2021,Hospitalització,Completa,1
Dona,80 o més,04/11/2021,Cas,Completa,11
Dona,80 o més,04/11/2021,Hospitalització,No iniciada,1
Dona,80 o més,04/11/2021,Hospitalització,Completa,2
Dona,80 o més,04/11/2021,Cas,No iniciada,1
Home,80 o més,04/11/2021,Cas,Completa,12
Home,80 o més,04/11/2021,Crítics,Completa,1
No classificat,No classificat,04/11/2021,Cas,Completa,1
No classificat,No classificat,04/11/2021,Cas,No iniciada,18
Dona,0 a 9,03/11/2021,Cas,No iniciada,36
Home,0 a 9,03/11/2021,Cas,No iniciada,29
Dona,10 a 19,03/11/2021,Cas,Completa,8
Dona,10 a 19,03/11/2021,Cas,No iniciada,19
Home,10 a 19,03/11/2021,Cas,No iniciada,27
Home,10 a 19,03/11/2021,Cas,Completa,6
Dona,20 a 29,03/11/2021,Cas,No iniciada,11
Dona,20 a 29,03/11/2021,Cas,Completa,18
Dona,20 a 29,03/11/2021,Cas,Parcial,1
Dona,20 a 29,03/11/2021,Hospitalització,No iniciada,1
Home,20 a 29,03/11/2021,Cas,No iniciada,6
Home,20 a 29,03/11/2021,Cas,Completa,11
Home,20 a 29,03/11/2021,Cas,Parcial,1
Dona,30 a 39,03/11/2021,Cas,Parcial,1
Dona,30 a 39,03/11/2021,Cas,Completa,31
Dona,30 a 39,03/11/2021,Hospitalització,No iniciada,1
Dona,30 a 39,03/11/2021,Cas,No iniciada,14
